legacyPath,category,disposition,phase,targetPath,usesBase44,usesUpload,usesAppLanguageContext,securityNotes,dependencyOfPath,notes
src/App.jsx,src/other,review-required,,,false,false,true,privilege/consent/retention terms present — legal review required; client PII terms present — redaction contract required,,
src/components/AccessRestricted.jsx,components/other,discard,,,true,false,false,base44 SDK reference — must be rewritten to Nzila services,,
src/components/AuthLayout.jsx,components/other,discard,,,false,false,false,client PII terms present — redaction contract required,,
src/components/GoogleIcon.jsx,components/other,discard,,,false,false,false,,,
src/components/ProtectedRoute.jsx,components/other,discard,,,false,false,false,,,
src/components/RequireParentOrg.jsx,components/other,discard,,,false,false,false,,,
src/components/RequirePlatformOwner.jsx,components/other,discard,,,false,false,false,,,
src/components/RequireTenantOrg.jsx,components/other,discard,,,false,false,false,,,
src/components/ScrollToTop.jsx,components/other,discard,,,false,false,false,,,
src/components/UserNotRegisteredError.jsx,components/other,discard,,,false,false,true,,,
src/components/agents/MessageBubble.jsx,components/other,discard,,,false,false,false,,,
src/components/courtlens/AppErrorBoundary.jsx,components/courtlens/top-level,review-required,,,false,false,false,client PII terms present — redaction contract required,,
src/components/courtlens/Badges.jsx,components/courtlens/top-level,port,1,apps/abr/app/[locale]/dashboard/courtlens/_ui/badges.tsx,false,false,true,,,"UrgencyBadge, StatusBadge, AiSummaryBadge. Uses ABR-local tokens (navy/electric/gold) — status-* tokens from packages/ui/globals.css are NOT wired into apps/abr/app/globals.css and cannot be used without a separate token-plumbing task."
src/components/courtlens/CapabilityGuard.jsx,components/courtlens/top-level,discard,,,true,false,false,client PII terms present — redaction contract required; base44 SDK reference — must be rewritten to Nzila services,,Replaced by server-side hasPermission gates on each route.
src/components/courtlens/CourtLensMethod.jsx,components/courtlens/top-level,review-required,,,false,false,false,,,
src/components/courtlens/DataExportButton.jsx,components/courtlens/top-level,review-required,,,false,false,false,,,
src/components/courtlens/DeadlineAlerts.jsx,components/courtlens/top-level,review-required,,,false,false,false,,,
src/components/courtlens/DemoBanner.jsx,components/courtlens/top-level,review-required,,,false,false,true,,,
src/components/courtlens/DemoRequestForm.jsx,components/courtlens/top-level,review-required,,,true,false,false,privilege/consent/retention terms present — legal review required; base44 SDK reference — must be rewritten to Nzila services,,
src/components/courtlens/InstitutionalLearning.jsx,components/courtlens/top-level,review-required,,,false,false,false,,,
src/components/courtlens/LanguageToggle.jsx,components/courtlens/top-level,discard,,,false,false,true,,,Replaced by apps/abr locale switcher via next-intl. No port.
src/components/courtlens/LiveSignals.jsx,components/courtlens/top-level,review-required,,,false,false,false,,,
src/components/courtlens/MatterCard.jsx,components/courtlens/top-level,review-required,,,false,false,true,client PII terms present — redaction contract required,,
